Airline ID,Name,Country,Active
5087,Tyumenspecavia,Russia,N
5088,Taxi Aereo Turistico,Mexico,N
5089,Tulpar Air Service,Kazakhstan,N
5090,Tuna Aero,Sweden,N
5091,Trans America Airlines,United States,N
5092,Trabajos Aereos Vascongados,Spain,N
5093,Tiramavia,Moldova,N
5094,Travel Service,Hungary,N
5095,Transavio,Italy,N
5096,Tavrey Airlines,Ukraine,N
5097,Travel Service,Czech Republic,Y
5098,Trans World Airlines,United States,N
5099,Transwede Airways,Sweden,N
5100,Twinjet Aircraft Sales,United Kingdom,N
5101,Tradewinds Aviation,Canada,N
5102,Transairways,Mozambique,N
5103,Twente Airlines,Netherlands,N
5104,Trans Air Welwitchia,Angola,N
5105,Texair Charter,United States,N
5106,Transaviaexport,Belarus,N
5107,Transilvania Express,Romania,N
5108,Taxi Aereo Cozatl,Mexico,N
5109,Taxi Aereo de Mexico,Mexico,N
5110,Texas National Airlines,United States,N
5111,Taxis Aereos de Sinaloa,Mexico,N
5112,Taxirey,Mexico,N
5113,Texas Airlines,United States,N
5114,Texas Air Charters,United States,N
5115,Tex Star Air Freight,United States,N
5116,Tayflite,United Kingdom,N
5117,Trygg-Flyg,Sweden,N
5118,Tyrol Air Ambulance,Austria,N
5119,Transporte Aereo Ernesto Saenz,Mexico,N
5120,Tajikstan,Tajikistan,N
5121,Thyssen Krupp AG,Germany,N
5122,TUIfly Nordic,Sweden,Y
5123,Transportes Aereos Bolivianos,Bolivia,N
5124,Tiphook PLC,United Kingdom,N
5125,Top Flight Air Service,United States,N
5126,Trans America,United States,N
5127,Triple Alpha,Germany,N
5128,Tashkent Aircraft Production Corporation,Uzbekistan,N
5129,Texas Airways,United States,N
5130,Transportes Aereos Don Carlos,Chile,N
5131,Telnic Limited,United Kingdom,N
5132,Triton Airlines,Canada,N
5133,TAAG Angola Airlines,Angola,Y
5134,Tassili Airlines,Algeria,N
5135,Transporte Ejecutivo Aereo,Mexico,N
5136,Transportes Aereos Nacionales De Selva Tans,Peru,N
5137,TAG Farnborough Airport,United Kingdom,N
5138,Transaviaservice,Georgia,N
5139,TAG Aviation,Switzerland,N
5140,The 955 Preservation Group,United Kingdom,N
5141,Trans-Air-Link,United States,N
5142,Tradewind Aviation,United States,N
5143,Trail Lake Flying Service,United States,N
5144,TAF Helicopters,Spain,N
5145,Tango Bravo,France,N
5146,Turkish Air Force,Turkey,Y
5147,Thryluthjonustan,Iceland,N
5148,TA-Air Airline,Iran,N
5149,Tara Air Line,Iran,N
5150,Trading Air Cargo,Mauritania,N
5151,Trans-Kiev,Ukraine,N
5152,Tal Air Charters,Canada,N
5153,Transcontinental Airlines,Kazakhstan,N
5154,Transaviabaltika,Lithuania,N
5155,Transair-Gyraintiee,Russia,N
5156,TAM Mercosur,Paraguay,Y
5157,The Lancair Company,United States,N
5158,The Army Aviation Heritage Foundation,United States,N
5159,Top Sky International,Indonesia,N
5160,Trans States Airlines,United States,Y
5161,Trans Atlantis,Canada,N
5162,Transportacion Aerea Del Mar De Cortes,Mexico,N
5163,Transporte Aero MGM,Mexico,N
5164,Tigerfly,United Kingdom,N
5165,Transportes Aereos Amparo,Mexico,N
5166,Trans Air,United States,N
5167,Transportes Aereos Mexiquenses,Mexico,N
5168,Travelsky Technology,China,N
5169,Thalys,Belgium,N
5171,TNT International Aviation,United Kingdom,N
5172,Open Skies Consultative Commission,United States,N
5173,Trans-Pacific Orient Airways,Philippines,N
5174,Tauranga Aer Club,New Zealand,N
5175,TSSKB-Progress,Russia,N
5176,Trans World Express,United States,N
5177,Trans Reco,Mauritania,N
5178,Tas Aviation,United States,N
5179,Tarom,Romania,Y
5180,Transportes Aereos I.R. Crusoe,Chile,N
5181,Transportes Aereos Sierra,Mexico,N
5182,Tbilisi Aviation University,Georgia,N
5183,Trans Am Compania,Ecuador,N
5184,Trans Sahara Air,Nigeria,N
5185,Transportes Aereos Sierra Madre,Mexico,N
5186,Trans Asian Airlines,Kazakhstan,N
5187,Turan Air,Azerbaijan,Y
5188,TRIP Linhas A,Brazil,Y
5189,Tusheti,Georgia,N
5190,TAPC Aviatrans Aircompany,Uzbekistan,N
5191,Trans-Ulgii,Mongolia,N
5192,Transarabian Transportation Services,Uganda,N
5193,Transaven,Venezuela,N
5194,Tag Aviation UK,United Kingdom,N
5195,Tbilaviamsheni,Georgia,N
5196,Taxi de Veracruz,Mexico,N
5197,Travel Express Aviation Services,Indonesia,N
5198,Taxi Aero Del Norte,Mexico,N
5202,USAF Air Mobility Operations Control Center,United States,N
5203,U.S. Department of the Interior,United States,N
5204,United Kingdom Civil Aviation Authority,United Kingdom,N
5205,Union des Transports Africains de Guinee,Guinea,N
5206,US Army Parachute Team,United States,N
5207,USA3000 Airlines,United States,Y
5208,United Arabian Airlines,Sudan,N
5209,United Airlines,United States,Y
5210,United Air Charters,Zimbabwe,Y
5211,United Carriers Systems,United States,N
5212,United Eagle Airlines,China,N
5213,United Feeder Service,United States,N
5214,United Kingdom Civil Aviation Authority,United Kingdom,N
5215,United Kingdom Royal VIP Flights,United Kingdom,N
5216,United Kingdom Royal VIP Flight,United Kingdom,N
5217,United Kingdom Civil Aviation Authority,United Kingdom,N
5218,United Kingdom Royal VIP Flights,United Kingdom,N
5219,United States Coast Guard Auxiliary,United States,N
5220,United States Department Of Agriculture,United States,N
5221,University Air Squadron,United Kingdom,N
5222,University Air Squadron,United Kingdom,N
5223,University Air Squadron,United Kingdom,N
5224,University Air Squadron,United Kingdom,N
5225,Universal Avia,Ukraine,N
5226,UK HEMS,United Kingdom,N
5227,USA Jet Airlines,United States,N
5228,Unijet,France,N
5229,US Marshals Service,United States,N
5230,University of North Dakota,United States,N
5231,Universal Airlines,United States,N
5232,Uganda Royal Airways,Uganda,N
5233,United Aviation Services,Spain,N
5234,Ural Airlines,Russia,Y
5235,Ukraine Transavia,Ukraine,N
5236,United Arab Emirates Air Force,United Arab Emirates,N
5237,Union Africaine des Transports,Ivory Coast,N
5238,Uganda Air Cargo,Uganda,N
5239,US Airports Air Charter,United States,N
5240,Ucoaviacion,Spain,N
5241,Ues-Avia Aircompany,Ukraine,N
5242,UFS,United States,N
5243,Uganda Airlines,Uganda,N
5244,Urgemer Canarias,Spain,N
5245,Ukrainian Helicopters,Ukraine,N
5246,Ulyanovsk Higher Civil Aviation School,Russia,N
5247,Universal Jet Rental de Mexico,Mexico,N
5248,Universal Jet Aviation,United States,N
5249,UK International Airlines,United Kingdom,N
5250,Ukraine Air Alliance,Ukraine,N
5251,UM Airlines,Ukraine,Y
5252,Ukraine Air Enterprise,Ukraine,N
5253,United Kingdom Home Office,United Kingdom,N
5254,Ukrainian Cargo Airways,Ukraine,N
5255,Ultrair,United States,N
5256,Unitemp-M,Russia,N
5257,Uni-Fly,Denmark,N
5258,Union Flights,United States,N
5259,Universal Jet,Spain,N
5260,Unsped Paket Servisi,Turkey,N
5261,Unifly Servizi Aerei,Italy,N
5262,Ukrainian Pilot School,Ukraine,N
5263,United Parcel Service,United States,N
5264,Uraiavia,Russia,N
5265,US Airways,United States,Y
5266,US Check Airlines,United States,N
5267,USAfrica Airways,United States,N
5268,US Helicopter,United States,Y
5269,US Jet,United States,N
5270,US Express,United States,N
5271,UTair Aviation,Russia,Y
5272,UTAGE,Equatorial Guinea,N
5273,Utair South Africa,South Africa,N
5274,Ukrainian State Air Traffic Service Enterprise,Ukraine,N
5275,Urartu-Air,Armenia,N
5276,Universal Airways,United States,N
5277,Universal Airlines,Guyana,N
5278,Uvavemex,Mexico,N
5279,United States Air Force,United States,Y
5280,United Aviation,Kuwait,N
5281,Uzbekistan Airways,Uzbekistan,Y
5282,Ukraine International Airlines,Ukraine,Y
5283,Universal Airlines,United States,N
5284,US Helicopter Corporation,United States,Y
5288,V Australia Airlines,Australia,N
5289,V Bird Airlines Netherlands,Netherlands,N
5290,V-avia Airline,Ukraine,N
5291,V-Berd-Avia,Armenia,N
5292,Vacationair,Canada,N
5293,Valair AG (Helicoptere),Switzerland,N
5294,Valan International Cargo Charter,South Africa,N
5295,Valan Limited,Moldova,N
5296,Valfell-Verkflug,Iceland,N
5297,Valuair,Singapore,Y
5298,Van Air Europe,Czech Republic,N
5299,Vanguardia en Aviacion en Colima,Mexico,N
5300,Vanguard Airlines,United States,N
5301,Vasco Air,Vietnam,Y
5302,Vega,Kazakhstan,N
