Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
5741,Memorial Field,Hot Springs,United States,HOT,KHOT,34.47800064086914,-93.09619903564452
5742,Tri-State/Milton J. Ferguson Field,Huntington,United States,HTS,KHTS,38.36669922,-82.55799866
5753,Lynchburg Regional Preston Glenn Field,Lynchburg,United States,LYH,KLYH,37.326698303222656,-79.20040130615234
5755,Frank Wiley Field,Miles City,United States,MLS,KMLS,46.428001403808594,-105.88600158691406
5764,Reading Regional Carl A Spaatz Field,Reading,United States,RDG,KRDG,40.37850189208984,-75.96520233154297
5772,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,SMX,KSMX,34.89889908,-120.4570007
5774,Quincy Regional Baldwin Field,Quincy,United States,UIN,KUIN,39.94269943,-91.19460297
5779,Yakima Air Terminal McAllister Field,Yakima,United States,YKM,KYKM,46.56819916,-120.5439987
6421,Inishmore Aerodrome,Inis Mor,Ireland,IOR,EIIM,53.1067008972168,-9.653610229492188
6511,Tekapo Aerodrome,Lake Tekapo,New Zealand,\N,NZTL,-44.0052986145,170.444000244
6736,Port Clarence Coast Guard Station,Port Clarence,United States,KPC,PAPC,65.2537002563,-166.85899353
6739,Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR,KHGR,39.707901,-77.72949982
6773,Buffalo Spring,Samburu South,Kenya,UAS,HKSB,0.530583,37.534195
6826,Burnet Municipal Kate Craddock Field,Bamburi,Kenya,\N,KBMQ,30.73889923095703,-98.23860168457033
6830,Flugplatz Finsterwalde/Heinrichsruh,Finsterwalde,Germany,\N,EDAS,51.634445,13.675556
6834,Great Barrier Aerodrome,Claris,New Zealand,GBZ,NZGB,-36.24140167236328,175.4720001220703
6871,Delaware County Johnson Field,Muncie,United States,MIE,KMIE,40.2422981262207,-85.3958969116211
6948,NAS Fort Worth JRB/Carswell Field,Dallas,United States,FWH,KNFW,32.76919937,-97.4414978
6951,Jan Mayensfield,Jan Mayen,Norway,\N,ENJA,70.9441166,-8.6520736
6995,Deland Municipal Sidney H Taylor Field,DeLand,United States,\N,KDED,29.06699944,-81.28379822
6996,Haller Airpark,Green Cove Springs,United States,\N,7FL4,29.904057,-81.68515
7001,Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE,KASE,39.22320175,-106.8690033
7009,Kerrville Municipal Louis Schreiner Field,Kerrville,United States,ERV,KERV,29.9766998291,-99.0857009888
