Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
210,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.69100189208984,3.215409994125366
211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543
220,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.809174
221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492
222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.4315986633,8.12071990967
224,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958
225,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.46315002441
230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.45000004768
231,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999
233,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.1471419930458068
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.83760070800781,-0.1864140033721923
235,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.7933006287,5.73823022842
236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.5713005065918,2.8595900535583496
237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.794110059738159
238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.6730003357,6.140439987180001
239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509994507,2.51202011108
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.06779861450195,6.088669776916504
243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434
244,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291
245,Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.3532,-1.51242
247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584
248,Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.1667860001325607
249,Tamale Airport,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934
252,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478014
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412
262,Benin Airport,Benin,Nigeria,BNI,DNBE,6.316979885101318,5.599500179290772
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474269866943359,7.561960220336914
266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688
267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342407227,4.493919849395752
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829635620115,8.869050025939941
269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.696000099182127,7.320109844207764
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.0476,8.52462
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706
